name,gate_name,n,np.average(construction_times),np.average(simulation_times),np.min(precisions),np.average(abs_errors),np.average(euclid_errors)
rec,X^(1/2),2,0.25,1.0,17,0.0,0.0
rec,X^(1/4),2,0.0,0.5,17,0.0,0.0
rec,X^(1/8),2,0.0,0.5,17,0.0,0.0
rec,H,2,0.25,0.75,17,0.0,0.0
rec,X,2,0.0,0.25,17,0.0,0.0
rec,Y,2,0.25,0.5,17,0.0,0.0
rec,Z,2,0.25,0.5,17,0.0,0.0
rec,Rx,2,0.25,0.25,17,0.0,0.0
rec,Ry,2,0.0,1.0,17,0.0,0.0
rec,Rz,2,0.25,0.25,17,0.0,0.0
rec,X^(1/2),3,1.0,1.625,7,2.2351742e-08,2.2351742e-08
rec,X^(1/4),3,1.125,1.75,7,1.4901161e-08,1.5359765e-08
rec,X^(1/8),3,1.0,1.75,17,0.0,0.0
rec,H,3,1.0,1.875,7,1.8626451e-08,2.3853497e-08
rec,X,3,0.875,1.625,17,0.0,0.0
rec,Y,3,1.125,1.625,17,0.0,0.0
rec,Z,3,1.0,1.5,17,0.0,0.0
rec,Rx,3,1.125,1.875,7,4.4703484e-08,4.4703484e-08
rec,Ry,3,1.0,1.75,7,4.4703484e-08,4.4703484e-08
rec,Rz,3,0.625,2.0,7,4.4703484e-08,4.4703484e-08
rec,X^(1/2),4,3.375,5.4375,7,2.4271714e-08,2.4441931e-08
rec,X^(1/4),4,3.5625,5.4375,7,1.112397e-08,1.2260626e-08
rec,X^(1/8),4,3.5,5.4375,6,2.6276824e-08,2.6411618e-08
rec,H,4,3.375,5.25,7,5.6281795e-08,6.0334344e-08
rec,X,4,3.3125,5.25,7,3.427849e-08,3.4314798e-08
rec,Y,4,3.75,5.125,7,3.427849e-08,3.4314798e-08
rec,Z,4,3.5625,5.6875,7,2.2351742e-08,2.2351742e-08
rec,Rx,4,3.375,5.3125,7,3.3527613e-08,3.3585593e-08
rec,Ry,4,3.25,5.0625,7,3.3527613e-08,3.3585593e-08
rec,Rz,4,3.5625,5.0,7,4.020652e-08,4.020652e-08
rec,X^(1/2),5,10.90625,16.90625,7,6.083137e-08,7.047471e-08
rec,X^(1/4),5,11.40625,16.40625,6,6.672319e-08,7.1447396e-08
rec,X^(1/8),5,10.84375,16.1875,6,9.258916e-08,9.919104e-08
rec,H,5,10.84375,16.3125,6,9.668282e-08,1.1245082e-07
rec,X,5,10.8125,16.34375,7,4.176755e-08,4.8817387e-08
rec,Y,5,10.71875,16.125,7,4.176755e-08,4.8817387e-08
rec,Z,5,10.5,15.8125,7,5.1950035e-08,5.723272e-08
rec,Rx,5,10.90625,16.03125,7,5.8614706e-08,7.022257e-08
rec,Ry,5,10.78125,16.21875,7,5.8614706e-08,7.022257e-08
rec,Rz,5,10.78125,16.1875,6,7.7341376e-08,8.703269e-08
rec,X^(1/2),6,32.53125,49.328125,6,1.3235723e-07,1.6134491e-07
rec,X^(1/4),6,32.640625,50.265625,6,1.6636866e-07,1.9059941e-07
rec,X^(1/8),6,32.828125,49.96875,6,2.0284256e-07,2.30021e-07
rec,H,6,32.484375,49.265625,6,1.5717751e-07,1.9313583e-07
rec,X,6,32.8125,49.796875,6,1.1423357e-07,1.4075889e-07
rec,Y,6,32.15625,49.828125,6,1.1423357e-07,1.4075889e-07
rec,Z,6,32.421875,49.9375,6,1.3103079e-07,1.4869164e-07
rec,Rx,6,32.5,49.828125,6,1.3749505e-07,1.6370072e-07
rec,Ry,6,32.40625,49.9375,6,1.3749505e-07,1.6370072e-07
rec,Rz,6,33.046875,50.21875,6,1.2687462e-07,1.5246593e-07
rec,X^(1/2),7,97.109375,154.1875,6,3.611392e-07,4.5616613e-07
rec,X^(1/4),7,97.8125,153.4140625,6,3.812978e-07,4.7603118e-07
rec,X^(1/8),7,96.734375,153.125,6,4.2791152e-07,5.139633e-07
rec,H,7,96.8515625,153.484375,6,3.9303265e-07,5.0074766e-07
rec,X,7,96.46875,153.5390625,6,3.39477e-07,4.2131546e-07
rec,Y,7,97.0,152.8515625,6,3.39477e-07,4.2131546e-07
rec,Z,7,96.515625,153.515625,6,3.4479604e-07,4.1701858e-07
rec,Rx,7,96.8359375,153.5546875,6,3.602135e-07,4.4493373e-07
rec,Ry,7,96.9375,153.953125,6,3.602135e-07,4.4493373e-07
rec,Rz,7,97.1875,153.6171875,6,3.8605248e-07,4.808594e-07
itr,X^(1/2),2,0.0,1.0,17,0.0,0.0
itr,X^(1/4),2,0.25,0.75,17,0.0,0.0
itr,X^(1/8),2,0.25,0.5,17,0.0,0.0
itr,H,2,0.25,0.5,17,0.0,0.0
itr,X,2,0.0,1.0,17,0.0,0.0
itr,Y,2,0.5,0.5,17,0.0,0.0
itr,Z,2,0.75,0.25,17,0.0,0.0
itr,Rx,2,0.25,0.5,17,0.0,0.0
itr,Ry,2,0.0,1.0,17,0.0,0.0
itr,Rz,2,0.75,0.0,17,0.0,0.0
itr,X^(1/2),3,0.875,1.5,7,2.2351742e-08,2.2351742e-08
itr,X^(1/4),3,0.875,1.375,7,1.4901161e-08,1.5359765e-08
itr,X^(1/8),3,0.875,1.5,17,0.0,0.0
itr,H,3,1.0,1.25,7,1.8626451e-08,2.3853497e-08
itr,X,3,0.875,1.25,17,0.0,0.0
itr,Y,3,0.75,1.375,17,0.0,0.0
itr,Z,3,0.75,1.375,17,0.0,0.0
itr,Rx,3,0.875,1.5,7,4.4703484e-08,4.4703484e-08
itr,Ry,3,0.75,1.625,7,4.4703484e-08,4.4703484e-08
itr,Rz,3,0.875,1.625,7,4.4703484e-08,4.4703484e-08
itr,X^(1/2),4,1.8125,3.4375,7,9.778887e-09,1.3282362e-08
itr,X^(1/4),4,1.625,3.5625,7,9.324656e-09,1.0690844e-08
itr,X^(1/8),4,1.75,3.375,6,2.3491287e-08,2.3573481e-08
itr,H,4,1.6875,3.6875,6,1.4584121e-07,1.4896051e-07
itr,X,4,1.5625,3.375,7,7.082876e-08,7.127778e-08
itr,Y,4,1.75,3.4375,7,7.082876e-08,7.127778e-08
itr,Z,4,1.6875,3.375,7,5.2154064e-08,5.2154064e-08
itr,Rx,4,1.75,3.375,7,1.1175871e-08,1.1233853e-08
itr,Ry,4,1.6875,3.4375,7,1.1175871e-08,1.1233853e-08
itr,Rz,4,1.8125,3.25,7,1.1233853e-08,1.1233853e-08
itr,X^(1/2),5,3.28125,7.5625,7,1.0648765e-08,1.3251455e-08
itr,X^(1/4),5,3.25,7.75,6,2.9229868e-08,3.1313395e-08
itr,X^(1/8),5,3.15625,7.6875,6,7.1004706e-08,7.1232165e-08
itr,H,5,3.3125,7.53125,6,2.0761631e-07,2.0920575e-07
itr,X,5,3.15625,7.78125,6,2.5069875e-08,2.6505012e-08
itr,Y,5,3.15625,7.5625,6,2.5069875e-08,2.6505012e-08
itr,Z,5,3.25,7.65625,6,1.04945926e-07,1.04945926e-07
itr,Rx,5,3.21875,7.8125,6,1.899898e-07,1.9008233e-07
itr,Ry,5,3.28125,7.6875,6,1.899898e-07,1.9008233e-07
itr,Rz,5,3.25,7.875,6,1.9008233e-07,1.9008233e-07
itr,X^(1/2),6,6.25,15.34375,6,5.640193e-08,6.16055e-08
itr,X^(1/4),6,6.390625,15.265625,6,1.3799138e-07,1.390791e-07
itr,X^(1/8),6,6.296875,15.359375,6,1.00710764e-07,1.0098246e-07
itr,H,6,6.203125,15.390625,6,2.6288834e-07,2.639053e-07
itr,X,6,6.1875,14.96875,6,1.8970136e-08,2.2437423e-08
itr,Y,6,6.34375,15.1875,6,1.8970136e-08,2.2437423e-08
itr,Z,6,6.578125,15.734375,6,2.936781e-07,2.936781e-07
